ChIP CellType Sample URL
ChIP fibroblast 1 ftp://ftp.genboree.org/EpigenomeAtlas/Release-9/experiment-sample/Histone_H3K27me3/Penis_Foreskin_Fibroblast_Primary_Cells/UCSF-UBC.Penis_Foreskin_Fibroblast_Primary_Cells.H3K27me3.skin01.bed.gz
ChIP fibroblast 2 ftp://ftp.genboree.org/EpigenomeAtlas/Release-9/experiment-sample/Histone_H3K27me3/Penis_Foreskin_Fibroblast_Primary_Cells/UCSF-UBC.Penis_Foreskin_Fibroblast_Primary_Cells.H3K27me3.skin02.bed.gz
ChIP fibroblast 3 ftp://ftp.genboree.org/EpigenomeAtlas/Release-9/experiment-sample/Histone_H3K27me3/Penis_Foreskin_Fibroblast_Primary_Cells/UCSF-UBC.Penis_Foreskin_Fibroblast_Primary_Cells.H3K27me3.skin03.bed.gz
ChIP keratinocyte 1 ftp://ftp.genboree.org/EpigenomeAtlas/Release-9/experiment-sample/Histone_H3K27me3/Penis_Foreskin_Keratinocyte_Primary_Cells/UCSF-UBC.Penis_Foreskin_Keratinocyte_Primary_Cells.H3K27me3.skin01.bed.gz
ChIP keratinocyte 2 ftp://ftp.genboree.org/EpigenomeAtlas/Release-9/experiment-sample/Histone_H3K27me3/Penis_Foreskin_Keratinocyte_Primary_Cells/UCSF-UBC.Penis_Foreskin_Keratinocyte_Primary_Cells.H3K27me3.skin02.bed.gz
ChIP keratinocyte 3 ftp://ftp.genboree.org/EpigenomeAtlas/Release-9/experiment-sample/Histone_H3K27me3/Penis_Foreskin_Keratinocyte_Primary_Cells/UCSF-UBC.Penis_Foreskin_Keratinocyte_Primary_Cells.H3K27me3.skin03.bed.gz
ChIP melanocyte 1 ftp://ftp.genboree.org/EpigenomeAtlas/Release-9/experiment-sample/Histone_H3K27me3/Penis_Foreskin_Melanocyte_Primary_Cells/UCSF-UBC.Penis_Foreskin_Melanocyte_Primary_Cells.H3K27me3.skin01.bed.gz
ChIP melanocyte 2 ftp://ftp.genboree.org/EpigenomeAtlas/Release-9/experiment-sample/Histone_H3K27me3/Penis_Foreskin_Melanocyte_Primary_Cells/UCSF-UBC.Penis_Foreskin_Melanocyte_Primary_Cells.H3K27me3.skin02.bed.gz
ChIP melanocyte 3 ftp://ftp.genboree.org/EpigenomeAtlas/Release-9/experiment-sample/Histone_H3K27me3/Penis_Foreskin_Melanocyte_Primary_Cells/UCSF-UBC.Penis_Foreskin_Melanocyte_Primary_Cells.H3K27me3.skin03.bed.gz
Input fibroblast 1 ftp://ftp.genboree.org/EpigenomeAtlas/Release-9/experiment-sample/ChIP-Seq_Input/Penis_Foreskin_Fibroblast_Primary_Cells/UCSF-UBC.Penis_Foreskin_Fibroblast_Primary_Cells.Input.skin01.bed.gz
Input fibroblast 2 ftp://ftp.genboree.org/EpigenomeAtlas/Release-9/experiment-sample/ChIP-Seq_Input/Penis_Foreskin_Fibroblast_Primary_Cells/UCSF-UBC.Penis_Foreskin_Fibroblast_Primary_Cells.Input.skin02.bed.gz
Input fibroblast 3 ftp://ftp.genboree.org/EpigenomeAtlas/Release-9/experiment-sample/ChIP-Seq_Input/Penis_Foreskin_Fibroblast_Primary_Cells/UCSF-UBC.Penis_Foreskin_Fibroblast_Primary_Cells.Input.skin03.bed.gz
Input keratinocyte 1 ftp://ftp.genboree.org/EpigenomeAtlas/Release-9/experiment-sample/ChIP-Seq_Input/Penis_Foreskin_Keratinocyte_Primary_Cells/UCSF-UBC.Penis_Foreskin_Keratinocyte_Primary_Cells.Input.skin01.bed.gz
Input keratinocyte 2 ftp://ftp.genboree.org/EpigenomeAtlas/Release-9/experiment-sample/ChIP-Seq_Input/Penis_Foreskin_Keratinocyte_Primary_Cells/UCSF-UBC.Penis_Foreskin_Keratinocyte_Primary_Cells.Input.skin02.bed.gz
Input keratinocyte 3 ftp://ftp.genboree.org/EpigenomeAtlas/Release-9/experiment-sample/ChIP-Seq_Input/Penis_Foreskin_Keratinocyte_Primary_Cells/UCSF-UBC.Penis_Foreskin_Keratinocyte_Primary_Cells.Input.skin03.bed.gz
Input melanocyte 1 ftp://ftp.genboree.org/EpigenomeAtlas/Release-9/experiment-sample/ChIP-Seq_Input/Penis_Foreskin_Melanocyte_Primary_Cells/UCSF-UBC.Penis_Foreskin_Melanocyte_Primary_Cells.Input.skin01.bed.gz
Input melanocyte 2 ftp://ftp.genboree.org/EpigenomeAtlas/Release-9/experiment-sample/ChIP-Seq_Input/Penis_Foreskin_Melanocyte_Primary_Cells/UCSF-UBC.Penis_Foreskin_Melanocyte_Primary_Cells.Input.skin02.bed.gz
Input melanocyte 3 ftp://ftp.genboree.org/EpigenomeAtlas/Release-9/experiment-sample/ChIP-Seq_Input/Penis_Foreskin_Melanocyte_Primary_Cells/UCSF-UBC.Penis_Foreskin_Melanocyte_Primary_Cells.Input.skin03.bed.gz
