File Name Group ChIP Mate
/Users/endrebakkenstovner/hunt_cloud/code/chip_seq_pipeline/example/download/Input_3_melanocyte.bed.gz melanocyte_3_Input melanocyte Input 1
/Users/endrebakkenstovner/hunt_cloud/code/chip_seq_pipeline/example/download/Input_1_melanocyte.bed.gz melanocyte_1_Input melanocyte Input 1
/Users/endrebakkenstovner/hunt_cloud/code/chip_seq_pipeline/example/download/ChIP_1_keratinocyte.bed.gz keratinocyte_1_ChIP keratinocyte ChIP 1
/Users/endrebakkenstovner/hunt_cloud/code/chip_seq_pipeline/example/download/ChIP_1_fibroblast.bed.gz fibroblast_1_ChIP fibroblast ChIP 1
/Users/endrebakkenstovner/hunt_cloud/code/chip_seq_pipeline/example/download/ChIP_3_melanocyte.bed.gz melanocyte_3_ChIP melanocyte ChIP 1
/Users/endrebakkenstovner/hunt_cloud/code/chip_seq_pipeline/example/download/Input_3_keratinocyte.bed.gz keratinocyte_3_Input keratinocyte Input 1
/Users/endrebakkenstovner/hunt_cloud/code/chip_seq_pipeline/example/download/Input_3_fibroblast.bed.gz fibroblast_3_Input fibroblast Input 1
/Users/endrebakkenstovner/hunt_cloud/code/chip_seq_pipeline/example/download/Input_2_melanocyte.bed.gz melanocyte_2_Input melanocyte Input 1
/Users/endrebakkenstovner/hunt_cloud/code/chip_seq_pipeline/example/download/Input_2_fibroblast.bed.gz fibroblast_2_Input fibroblast Input 1
/Users/endrebakkenstovner/hunt_cloud/code/chip_seq_pipeline/example/download/Input_2_keratinocyte.bed.gz keratinocyte_2_Input keratinocyte Input 1
/Users/endrebakkenstovner/hunt_cloud/code/chip_seq_pipeline/example/download/ChIP_3_fibroblast.bed.gz fibroblast_3_ChIP fibroblast ChIP 1
/Users/endrebakkenstovner/hunt_cloud/code/chip_seq_pipeline/example/download/ChIP_1_melanocyte.bed.gz melanocyte_1_ChIP melanocyte ChIP 1
/Users/endrebakkenstovner/hunt_cloud/code/chip_seq_pipeline/example/download/ChIP_3_keratinocyte.bed.gz keratinocyte_3_ChIP keratinocyte ChIP 1
/Users/endrebakkenstovner/hunt_cloud/code/chip_seq_pipeline/example/download/Input_1_fibroblast.bed.gz fibroblast_1_Input fibroblast Input 1
/Users/endrebakkenstovner/hunt_cloud/code/chip_seq_pipeline/example/download/Input_1_keratinocyte.bed.gz keratinocyte_1_Input keratinocyte Input 1
/Users/endrebakkenstovner/hunt_cloud/code/chip_seq_pipeline/example/download/ChIP_2_keratinocyte.bed.gz keratinocyte_2_ChIP keratinocyte ChIP 1
/Users/endrebakkenstovner/hunt_cloud/code/chip_seq_pipeline/example/download/ChIP_2_fibroblast.bed.gz fibroblast_2_ChIP fibroblast ChIP 1
/Users/endrebakkenstovner/hunt_cloud/code/chip_seq_pipeline/example/download/ChIP_2_melanocyte.bed.gz melanocyte_2_ChIP melanocyte ChIP 1
