File Name Group ChIP Mate
/mnt/cargo/epipp_fastqs/Sample_Exp1_Pooled_all_time_points_Mouse_IgG/Exp1_Pooled_all_time_points_Mouse_IgG_TCCAGT_L003_R1_001.fastq.gz Exp1_all_Mouse Mouse_all ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_Pooled_all_time_points_Mouse_IgG/Exp1_Pooled_all_time_points_Mouse_IgG_TCCAGT_L001_R1_001.fastq.gz Exp1_all_Mouse Mouse_all ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_Pooled_all_time_points_Mouse_IgG/Exp1_Pooled_all_time_points_Mouse_IgG_TCCAGT_L002_R1_001.fastq.gz Exp1_all_Mouse Mouse_all ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_Pooled_all_time_points_Mouse_IgG/Exp1_Pooled_all_time_points_Mouse_IgG_TCCAGT_L004_R1_001.fastq.gz Exp1_all_Mouse Mouse_all ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_Pooled_all_time_points_Rabbit_IgG/Exp1_Pooled_all_time_points_Rabbit_IgG_TGTATG_L001_R1_001.fastq.gz Exp1_all_Rabbit Rabbit_all ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_Pooled_all_time_points_Rabbit_IgG/Exp1_Pooled_all_time_points_Rabbit_IgG_TGTATG_L004_R1_001.fastq.gz Exp1_all_Rabbit Rabbit_all ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_Pooled_all_time_points_Rabbit_IgG/Exp1_Pooled_all_time_points_Rabbit_IgG_TGTATG_L002_R1_001.fastq.gz Exp1_all_Rabbit Rabbit_all ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_Pooled_all_time_points_Rabbit_IgG/Exp1_Pooled_all_time_points_Rabbit_IgG_TGTATG_L003_R1_001.fastq.gz Exp1_all_Rabbit Rabbit_all ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp2_Pooled_all_time_points_Mouse_IgG/Exp2_Pooled_all_time_points_Mouse_IgG_TCCAGT_L008_R1_001.fastq.gz Exp2_all_Mouse Mouse_all ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp2_Pooled_all_time_points_Mouse_IgG/Exp2_Pooled_all_time_points_Mouse_IgG_TCCAGT_L006_R1_001.fastq.gz Exp2_all_Mouse Mouse_all ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp2_Pooled_all_time_points_Mouse_IgG/Exp2_Pooled_all_time_points_Mouse_IgG_TCCAGT_L007_R1_001.fastq.gz Exp2_all_Mouse Mouse_all ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp2_Pooled_all_time_points_Mouse_IgG/Exp2_Pooled_all_time_points_Mouse_IgG_TCCAGT_L005_R1_001.fastq.gz Exp2_all_Mouse Mouse_all ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp2_Pooled_all_time_points_Rabbit_IgG/Exp2_Pooled_all_time_points_Rabbit_IgG_TGTATG_L007_R1_001.fastq.gz Exp2_all_Rabbit Rabbit_all ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp2_Pooled_all_time_points_Rabbit_IgG/Exp2_Pooled_all_time_points_Rabbit_IgG_TGTATG_L005_R1_002.fastq.gz Exp2_all_Rabbit Rabbit_all ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp2_Pooled_all_time_points_Rabbit_IgG/Exp2_Pooled_all_time_points_Rabbit_IgG_TGTATG_L006_R1_001.fastq.gz Exp2_all_Rabbit Rabbit_all ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp2_Pooled_all_time_points_Rabbit_IgG/Exp2_Pooled_all_time_points_Rabbit_IgG_TGTATG_L007_R1_002.fastq.gz Exp2_all_Rabbit Rabbit_all ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp2_Pooled_all_time_points_Rabbit_IgG/Exp2_Pooled_all_time_points_Rabbit_IgG_TGTATG_L008_R1_002.fastq.gz Exp2_all_Rabbit Rabbit_all ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp2_Pooled_all_time_points_Rabbit_IgG/Exp2_Pooled_all_time_points_Rabbit_IgG_TGTATG_L005_R1_001.fastq.gz Exp2_all_Rabbit Rabbit_all ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp2_Pooled_all_time_points_Rabbit_IgG/Exp2_Pooled_all_time_points_Rabbit_IgG_TGTATG_L008_R1_001.fastq.gz Exp2_all_Rabbit Rabbit_all ChIP 1
