File Name Group ChIP Mate
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__H3K27me3/Exp1_0_h__H3K27me3_CTTGTA_L003_R1_001.fastq.gz Exp1_0h_H3K27me3 H3K27me3_0h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__H3K27me3/Exp1_0_h__H3K27me3_CTTGTA_L004_R1_001.fastq.gz Exp1_0h_H3K27me3 H3K27me3_0h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__H3K27me3/Exp1_0_h__H3K27me3_CTTGTA_L002_R1_001.fastq.gz Exp1_0h_H3K27me3 H3K27me3_0h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__H3K27me3/Exp1_0_h__H3K27me3_CTTGTA_L001_R1_001.fastq.gz Exp1_0h_H3K27me3 H3K27me3_0h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__Input_DNA/Exp1_0_h__Input_DNA_TTCCAT_L003_R1_001.fastq.gz Exp1_0h_H3K27me3_Input H3K27me3_0h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__Input_DNA/Exp1_0_h__Input_DNA_TTCCAT_L004_R1_001.fastq.gz Exp1_0h_H3K27me3_Input H3K27me3_0h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__Input_DNA/Exp1_0_h__Input_DNA_TTCCAT_L002_R1_002.fastq.gz Exp1_0h_H3K27me3_Input H3K27me3_0h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__Input_DNA/Exp1_0_h__Input_DNA_TTCCAT_L002_R1_001.fastq.gz Exp1_0h_H3K27me3_Input H3K27me3_0h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__Input_DNA/Exp1_0_h__Input_DNA_TTCCAT_L004_R1_002.fastq.gz Exp1_0h_H3K27me3_Input H3K27me3_0h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__Input_DNA/Exp1_0_h__Input_DNA_TTCCAT_L003_R1_002.fastq.gz Exp1_0h_H3K27me3_Input H3K27me3_0h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__Input_DNA/Exp1_0_h__Input_DNA_TTCCAT_L001_R1_001.fastq.gz Exp1_0h_H3K27me3_Input H3K27me3_0h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__Input_DNA/Exp1_0_h__Input_DNA_TTCCAT_L001_R1_002.fastq.gz Exp1_0h_H3K27me3_Input H3K27me3_0h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__H3K4me3/Exp1_0_h__H3K4me3_CGATGT_L002_R1_002.fastq.gz Exp1_0h_H3K4me3 H3K4me3_0h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__H3K4me3/Exp1_0_h__H3K4me3_CGATGT_L004_R1_001.fastq.gz Exp1_0h_H3K4me3 H3K4me3_0h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__H3K4me3/Exp1_0_h__H3K4me3_CGATGT_L001_R1_002.fastq.gz Exp1_0h_H3K4me3 H3K4me3_0h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__H3K4me3/Exp1_0_h__H3K4me3_CGATGT_L003_R1_002.fastq.gz Exp1_0h_H3K4me3 H3K4me3_0h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__H3K4me3/Exp1_0_h__H3K4me3_CGATGT_L004_R1_002.fastq.gz Exp1_0h_H3K4me3 H3K4me3_0h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__H3K4me3/Exp1_0_h__H3K4me3_CGATGT_L001_R1_001.fastq.gz Exp1_0h_H3K4me3 H3K4me3_0h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__H3K4me3/Exp1_0_h__H3K4me3_CGATGT_L003_R1_001.fastq.gz Exp1_0h_H3K4me3 H3K4me3_0h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__H3K4me3/Exp1_0_h__H3K4me3_CGATGT_L002_R1_001.fastq.gz Exp1_0h_H3K4me3 H3K4me3_0h ChIP 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__Input_DNA/Exp1_0_h__Input_DNA_TTCCAT_L003_R1_001.fastq.gz Exp1_0h_H3K4me3_Input H3K4me3_0h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__Input_DNA/Exp1_0_h__Input_DNA_TTCCAT_L004_R1_001.fastq.gz Exp1_0h_H3K4me3_Input H3K4me3_0h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__Input_DNA/Exp1_0_h__Input_DNA_TTCCAT_L002_R1_002.fastq.gz Exp1_0h_H3K4me3_Input H3K4me3_0h Input 1
/mnt/cargo/epipp_fastqs/Sample_Exp1_0_h__Input_DNA/Exp1_0_h__Input_DNA_TTCCAT_L002_R1_001.fastq.gz Exp1_0h_H3K4me3_Input H3K4me3_0h Input 1
